g.name,gs.name,v.id
NOS2,M_mac_IFNG_response,v_hs91
NFKBIZ,M_mac_IFNG_response,v_hs91
CSF2,M_mac_IFNG_response,v_hs91
IFNGR2,M_mac_IFNG_response,v_hs91
CSF3,M_mac_IFNG_response,v_hs91
MARCO,M_mac_IFNG_response,v_hs91
CCL11,M_mac_IFNG_response,v_hs91
PELI1,M_mac_IFNG_response,v_hs91
CCL1,M_mac_IFNG_response,v_hs91
IL1A,M_mac_IFNG_response,v_hs91
IL1B,M_mac_IFNG_response,v_hs91
IL23A,M_mac_IFNG_response,v_hs91
SOCS3,M_mac_IFNG_response,v_hs91
TNFAIP3,M_mac_IFNG_response,v_hs91
CD28,Stem_cell_memory_vs_all_TNK_positive,v_hs19b
ATXN1,Stem_cell_memory_vs_all_TNK_positive,v_hs19b
SELL,Stem_cell_memory_vs_all_TNK_positive,v_hs19b
CD27,Stem_cell_memory_vs_all_TNK_positive,v_hs19b
FAS,Stem_cell_memory_vs_all_TNK_positive,v_hs19b
IL2RB,Stem_cell_memory_vs_all_TNK_positive,v_hs19b
CCR7,Stem_cell_memory_vs_all_TNK_positive,v_hs19b
IL7R,Stem_cell_memory_vs_all_TNK_positive,v_hs19b
H2BC12,all_G2M_transition,v_hs64b
H2AZP3,all_G2M_transition,v_hs64b
CCNE2,all_G2M_transition,v_hs64b
H2AC4,all_G2M_transition,v_hs64b
H2BC15,all_G2M_transition,v_hs64b
H2BU1,all_G2M_transition,v_hs64b
H4-16,all_G2M_transition,v_hs64b
SLBP,all_G2M_transition,v_hs64b
H1-6,all_G2M_transition,v_hs64b
H4C5,all_G2M_transition,v_hs64b
H2AZP1,all_G2M_transition,v_hs64b
H1-12P,all_G2M_transition,v_hs64b
H3C12,all_G2M_transition,v_hs64b
H2AW,all_G2M_transition,v_hs64b
BRCA1,all_G2M_transition,v_hs64b
H1-2,all_G2M_transition,v_hs64b
H3C1,all_G2M_transition,v_hs64b
H4C14,all_G2M_transition,v_hs64b
H2AC17,all_G2M_transition,v_hs64b
H4C2,all_G2M_transition,v_hs64b
TYMS,all_G2M_transition,v_hs64b
H3C4,all_G2M_transition,v_hs64b
H2AC15,all_G2M_transition,v_hs64b
MACROH2A1,all_G2M_transition,v_hs64b
H4C12,all_G2M_transition,v_hs64b
H2AZP5,all_G2M_transition,v_hs64b
H3C3,all_G2M_transition,v_hs64b
MSH2,all_G2M_transition,v_hs64b
H3P38,all_G2M_transition,v_hs64b
H2BC9,all_G2M_transition,v_hs64b
H3C13,all_G2M_transition,v_hs64b
H2BC18,all_G2M_transition,v_hs64b
H2AZP2,all_G2M_transition,v_hs64b
H2BC6,all_G2M_transition,v_hs64b
H2AC11,all_G2M_transition,v_hs64b
H2AFB3,all_G2M_transition,v_hs64b
H2BC11,all_G2M_transition,v_hs64b
H4C8,all_G2M_transition,v_hs64b
CDKN3,all_G2M_transition,v_hs64b
NASP,all_G2M_transition,v_hs64b
H2AC16,all_G2M_transition,v_hs64b
H2AC12,all_G2M_transition,v_hs64b
H3C6,all_G2M_transition,v_hs64b
H2BP2,all_G2M_transition,v_hs64b
H2AZP6,all_G2M_transition,v_hs64b
H4C15,all_G2M_transition,v_hs64b
H3C15,all_G2M_transition,v_hs64b
E2F5,all_G2M_transition,v_hs64b
CCNE1,all_G2M_transition,v_hs64b
H1-5,all_G2M_transition,v_hs64b
H3-2,all_G2M_transition,v_hs64b
H2BC14,all_G2M_transition,v_hs64b
H3-5,all_G2M_transition,v_hs64b
NPAT,all_G2M_transition,v_hs64b
H2AC13,all_G2M_transition,v_hs64b
H3-3B,all_G2M_transition,v_hs64b
CDKN1A,all_G2M_transition,v_hs64b
H4C3,all_G2M_transition,v_hs64b
H1F0,all_G2M_transition,v_hs64b
H2AZP4,all_G2M_transition,v_hs64b
E2F1,all_G2M_transition,v_hs64b
H2AC6,all_G2M_transition,v_hs64b
